team,init_off,init_def
Scotland,5173.326954203471,5511.5284140435115
England,5144.083825809544,5689.771042354151
Wales,5055.837282107996,5378.366769258806
Ireland,5116.202565004305,5466.395308523587
Uruguay,5439.536866235527,5550.745188145511
Argentina,5452.485515028028,5624.195107726577
Austria,5240.972277011605,5474.90178344209
Hungary,5317.240202879429,5450.514479694146
Czechia,5439.03979307332,5520.412356322227
Belgium,5341.150224463338,5522.489141413289
France,5264.955321722891,5495.614996749894
Switzerland,5244.910877111005,5437.176861616031
Netherlands,5408.9033941970765,5514.203443308086
Guyana,4389.7365359464,4732.458881720985
Trinidad and Tobago,4633.702142743801,4859.964659350039
South Africa,4760.547767219753,5351.9871013089705
Germany,5330.57399420685,5579.741587346176
Sweden,5323.3297304076805,5500.66500963385
Norway,5027.624152495197,5371.870444539983
Denmark,5390.5965970613115,5417.493419327243
Italy,5484.128501816135,5602.563636518305
Chile,5374.145156503694,5312.964824196701
Finland,5052.208116777397,5310.344300974802
Luxembourg,4474.582421947614,5272.10128419486
Russia,5157.36045778877,5628.466417415604
Philippines,4337.070396216163,4168.41297262705
China,4865.550481881817,5175.215989327369
Brazil,5690.02372672769,5663.864370106833
Suriname,4570.5483346797555,4748.776364535896
United States,4918.9067965210315,5262.278041268074
Japan,5015.30981370293,5115.8512981895055
Paraguay,5234.148357710664,5383.155918542774
Serbia,5243.059513537112,5385.042241769558
Greece,5030.761783924572,5390.043909871373
Spain,5450.593888657402,5630.045731636125
Egypt,5237.942498487644,5306.206567084432
Estonia,4669.91797094163,5052.530505437663
Northern Ireland,4995.752780158296,5457.994417536304
Costa Rica,5184.035996342216,5079.082258918123
El Salvador,4933.4832320902005,4951.50560455076
Guatemala,4914.114518351625,5002.991890599502
Honduras,4919.677584633495,4906.115698892675
Portugal,5395.545537931069,5536.763325285561
Poland,5167.351753028063,5401.712869620666
Romania,5206.769803482934,5388.018319230757
New Zealand,4756.507776065108,5032.645548183743
Australia,4893.203004806107,5532.271340782944
Latvia,4736.408512220451,5088.375337132766
Mexico,5410.318447784069,5247.034203613643
Lithuania,4743.16574598374,4981.4288565856805
Turkey,5025.959252920765,5387.168444434655
Aruba,4253.6568631345435,4511.259492417416
Curaçao,4731.096608386541,4572.232355041303
Bulgaria,5155.176030296257,5318.475447931252
Canada,4858.044076402364,5258.429426223621
Haiti,4778.069241091847,4867.0055306893755
Jamaica,4585.0483205526325,4957.528593157115
Kenya,4784.8795243383875,4942.6287995965695
Uganda,4982.948665876884,4978.817521764011
Bolivia,5141.352398464274,4914.15563128421
Georgia,4968.6157572098455,5149.49523029538
Azerbaijan,4645.651680732098,4963.999241975311
Armenia,4709.0296196455165,5014.660306265724
Peru,5191.224986756786,5380.167057927667
Belize,4308.3330354020245,4572.668121705801
Indonesia,4898.858578973079,4660.111393910953
Barbados,4296.371277058906,4655.544471696981
Nicaragua,4467.796525091593,4132.232128738023
Cuba,4654.886059027137,4792.213423461091
Faroe Islands,4526.409631718113,5071.386846691352
Iceland,4861.402175234416,5219.479199235993
Martinique,4682.6396336453245,4781.39381954318
Mauritius,4507.494494024371,4797.8328671190275
Reunion,4418.39940041056,4754.259955021688
Dominica,4093.121126068979,4277.790659805825
New Caledonia,4733.77669145624,4642.30883285907
Bonaire,3947.9989807450443,3922.2158726838916
Palestine,4767.23445518797,4638.549337356295
Grenada,4446.313032702127,4574.615294187686
Guadeloupe,4577.183899848037,4598.900108736492
French Guiana,4394.156887911633,4590.572729387216
Saint Lucia,4267.882084696048,4422.56790074532
St Vincent & Grenadines,4306.850712769303,4496.363222692244
Colombia,5163.456659188696,5399.066359942521
Panama,4679.230400303431,4838.277131925167
Venezuela,4934.74662734414,5079.419109719297
Ecuador,5164.4820959452145,5104.500874022958
Saint Kitts and Nevis,4326.397382645369,4529.160318506349
India,4514.771330198154,4554.95611494161
Slovakia,4978.901236884354,5349.267415362807
Croatia,5267.637619298101,5508.700626348369
Lebanon,4765.226687328226,5019.529177665797
Puerto Rico,4260.989473882708,4407.77606491239
Iran,5119.720354974192,5294.571243834115
Afghanistan,4323.477296667226,4051.8251883486914
South Korea,4985.398078110064,5144.02205355352
Iraq,5172.5332226888795,5172.744978059244
Syria,4950.1281730937435,4920.066743198463
Tanzania,4690.033059382753,4817.122218641458
Albania,4827.550055921323,5232.721899869781
Zimbabwe,4859.406743965706,5111.521004507379
Zambia,4942.909403815878,5168.840182682664
Hong Kong,4613.43177530004,4833.217208832714
Vietnam,4738.992280381433,4673.856747480168
Zanzibar,4767.568106115944,4425.042457775104
Djibouti,4170.153146694097,3848.944185842311
Ethiopia,4700.586265432338,4777.25742047829
Madagascar,4625.168959520658,4698.056766620516
Macao,3941.1507232254153,4125.310151923107
Singapore,4625.848908845562,4800.935757917407
Malaysia,4766.720300316338,4861.556540612639
Thailand,4748.465880154738,4668.921087569029
DR Congo,4946.972556050806,5057.919957382782
Dominican Republic,4393.893077769708,4569.310757742028
Israel,5022.896472808366,5355.55583838414
Cyprus,4714.140024794101,5149.535305606914
Sierra Leone,4720.249433528738,4866.393922709196
Nigeria,5107.423059586267,5226.533578053261
Antigua and Barbuda,4267.769134878677,4454.74061390252
Montserrat,4035.8935256104246,3787.0078902634377
Myanmar,4817.160296930603,4560.687862208787
Ghana,5038.356064645407,5205.250076002304
Pakistan,4308.85053117508,4225.805731481782
East Germany,5041.897037684908,5520.642859912854
Vanuatu,4333.066041464524,4127.274219565857
Fiji,4575.936596032313,4581.778939491135
Sri Lanka,4157.000106722502,3986.634961006506
Tahiti,4678.593544367727,4574.986293673693
Gambia,4728.765507364002,4778.04653650034
Guinea-Bissau,4684.01979912827,4875.122676147207
Jordan,4706.1493124084855,4949.547130515706
Libya,4966.151004741024,4978.029552447302
Burundi,4546.659465123967,4711.374668978909
Cameroon,5002.449399269863,5136.490045657733
Taiwan,4409.9145864155835,4305.204591883384
Tunisia,4986.973643386648,5274.5748704180605
Ivory Coast,5104.458845461117,5251.403890552986
Liberia,4591.224026069044,4926.257927523307
Mali,4897.796243907672,5084.116673338174
Congo,4955.722161433002,4972.936417090316
Togo,4782.964386770381,5006.35903006043
Benin,4754.289259805735,4891.618338239349
Cambodia,4324.874078630589,3943.373690019252
Sudan,4856.025682714695,4935.346400993159
North Vietnam,4899.38765273258,4662.460337772775
North Korea,4982.22473684699,5029.790734539761
Central African Republic,4782.608275553673,4451.390936858109
Malta,4519.375053537949,5081.694172089861
Saudi Arabia,5160.574578180209,5116.86238911187
Morocco,5136.949666608378,5344.69839891492
Malawi,4614.9020119713205,5016.022186786605
Algeria,5073.004150898081,5256.943819597689
Guinea,5014.721133563807,4946.318830245751
Cape Verde,4672.279053619208,4967.4371597208465
Senegal,4997.989825010444,5176.91399158741
Burkina Faso,4885.275713630064,4905.355493073324
Gabon,4714.899777276298,4997.114550556736
Mongolia,3962.3978709136522,3560.4731844464004
Kuwait,5083.330618172813,5067.280854874936
Laos,4204.477287639544,3679.4486516543616
Mauritania,4532.93882116344,4578.690604144742
Chad,4739.651304020095,4653.493244433149
Niger,4728.022794544882,4864.482344381393
Papua New Guinea,4387.222021957342,3946.7549167630127
Solomon Islands,4426.779602351675,4298.742682281414
Somalia,4579.183957628768,3962.3021745358583
Bermuda,4451.956168610502,4766.421120474891
Bahamas,3862.36783681052,3728.795205360171
Yemen,4750.598477657005,4505.206085398933
Oman,4766.398228772503,4834.737153022887
Bahrain,4781.625715259973,4966.172243396008
North Yemen,4139.638811025886,3652.5824132681523
Botswana,4307.239798852949,5094.529831863183
Eswatini,4327.1908374504255,4750.045786704504
Sint Maarten,4086.7832507121557,3689.4235726950665
Qatar,4935.878096355333,5078.709087760083
Lesotho,4299.464282559896,4571.901655141665
Brunei,3976.4366896212528,3687.0274194465223
Cook Islands,2960.120102131806,2389.1163421406936
United Arab Emirates,4921.974017636339,5116.784361990006
Nepal,3982.2346791514196,3930.6077191496065
Bangladesh,4021.1022833500574,4275.106405134521
Seychelles,4426.170294681066,4341.139387581994
Equatorial Guinea,4524.036070605887,4699.695024542964
Mozambique,4585.411854140472,4868.7637509604165
Guam,3493.148680422864,2663.9502835838734
Angola,4728.584110819706,5156.434200233436
São Tomé and Príncipe,4242.136729897462,4290.640998373909
Rwanda,4549.912906286341,4955.012919287178
Comoros,4751.854212267375,4413.473984527592
Maldives,4243.749614281773,3933.480859815713
Tonga,2762.5430677981603,2513.936367959537
Kiribati,2250.759852271603,1543.3799047384512
Tuvalu,3198.2441266579194,2326.8203535610774
Samoa,3082.4790372351817,3310.6113871749094
Liechtenstein,4119.969475120104,4947.980336361406
Bhutan,3729.1026706265684,3154.2103497930716
Niue,1319.0,1168.1986340087378
Eastern Samoa,2595.296653803679,1371.9820704163133
Cayman Islands,3971.7271926797835,4308.129245011223
Anguilla,3259.9600942756274,3398.186002113353
British Virgin Islands,3734.20316316881,3575.1944065648327
San Marino,3748.6917501388016,4832.921508910889
Saint Martin,3879.901023749534,3802.5126051997318
Namibia,4604.390503383873,4874.861944913436
Slovenia,5009.236491054097,5549.467970209953
Bosnia and Herzegovina,4888.516536371067,5338.162631146908
Moldova,4675.494302852679,5152.487364514651
Ukraine,5025.861326065168,5482.896844918014
Kazakhstan,4762.24544634802,4953.137415586228
Turkmenistan,4754.501288937556,4635.011960790844
Tajikistan,4541.8582191114365,4742.323005559661
Uzbekistan,4995.390645552605,5003.067416338281
Eritrea,4310.594355989952,4459.474054120188
Kyrgyzstan,4683.404408661245,4557.213801802845
Belarus,4787.299496480017,5244.855564875444
Kosovo,4955.9736554274305,5289.6112613614105
North Macedonia,4852.215439714258,5331.662945593631
Andorra,4039.608755966332,4878.757998307843
