team,init_off,init_def
Scotland,5969.397320062028,5568.6160083587
England,5834.604768512816,5440.752861900315
Wales,5524.427925520735,5159.214034465468
Ireland,5363.962032201768,4543.590551250015
Uruguay,5457.7355986834855,5255.2065218929365
Argentina,5522.468093219696,5323.114225292405
Austria,5487.912113343692,5090.918163550589
Hungary,5532.72086356094,5042.278402990144
Czechia,5563.447759989604,5121.09279804239
Belgium,5315.7064151061195,4929.874943338374
France,5171.616978405074,4487.504333506255
Switzerland,5186.529787626703,4837.955998729726
Netherlands,5506.633470739343,5008.288438039648
Guyana,4798.987744660878,4747.956170929294
Trinidad and Tobago,4940.895945100085,4733.239992062708
South Africa,5248.116918169287,4813.638823911027
Germany,5408.595597608791,4864.09328640026
Sweden,5437.521756609759,4834.171922082215
Norway,5111.193089676242,4672.073717638558
Denmark,5639.905876845917,5235.231782328077
Italy,5140.918418334158,5005.026436239785
Chile,5268.016146338414,4891.784595546767
Finland,5242.3901147150245,4640.306524253235
Luxembourg,5046.15884169191,4387.252069744434
Russia,5213.211736580575,4902.592275163718
Philippines,4704.452457644712,4399.562337685436
China,4855.030778639188,4673.093410901965
Brazil,5444.969140652639,5216.556155948476
Suriname,4856.578005195497,4552.683677661318
United States,5306.721831819398,4604.817787616389
Japan,4648.56443243322,4232.738406910587
Paraguay,5339.158164920478,5118.176925194894
Serbia,5292.582154129278,4770.250796301772
Greece,5039.8877442874755,4703.262737517381
Spain,5360.357131413738,5276.149915308283
Egypt,5323.091927092693,4886.820424585716
Estonia,4820.724340326542,4687.26591735262
Northern Ireland,5191.520902574146,5111.856839241877
Costa Rica,5550.514775057867,4915.022081188449
El Salvador,5039.936680161376,4502.089341463583
Guatemala,5025.250169935932,4572.482494275489
Honduras,4774.121767637946,4513.072758130588
Portugal,5227.638099496376,4974.779080170882
Poland,5189.442270198372,4929.255978193468
Romania,5283.916040804111,4883.544245265217
New Zealand,4987.625990685491,4502.860690571494
Australia,5093.725078639845,4627.467750906839
Latvia,4868.233019083126,4563.4458017041525
Mexico,5239.1125609279015,4720.262989713578
Lithuania,4823.917269538937,4260.512123298523
Turkey,5235.006900894562,4851.568516498189
Aruba,4777.8936933515115,4656.146959241327
Curaçao,4955.918138056273,4735.284330965605
Bulgaria,5090.702517695635,4709.117284116237
Canada,4884.914217887404,4898.605836506797
Haiti,4674.387543320786,4548.485423868283
Jamaica,4850.266689161207,4637.082116870246
Kenya,4992.735751284921,4551.823792255936
Uganda,5252.7403624248545,4830.584231409263
Bolivia,5046.850425501398,4517.120579788075
Georgia,5078.014362208189,4761.086023342123
Azerbaijan,5028.833516178115,4754.420588350679
Armenia,4802.10577303141,4543.132152656131
Peru,5202.028084740486,4880.2414356716135
Belize,4846.617774868316,4502.005494522661
Indonesia,5063.633374105015,4531.805904647492
Barbados,4730.32510278983,4398.7422068029955
Nicaragua,4762.752973557776,3864.455210150485
Cuba,4952.255192702561,4723.305267603685
Faroe Islands,4754.726085713452,4376.668227239599
Iceland,4932.052823455986,4498.074691101338
Martinique,4937.363917993177,4686.965903311264
Mauritius,5243.238499365599,4876.281797630157
Reunion,4795.82038576145,4319.8135217639865
Dominica,4657.060808384145,4340.214100964782
New Caledonia,4872.493734414942,4553.615294289258
Bonaire,4479.921476544789,4273.86850062124
Palestine,4883.234248674667,4474.799108305109
Grenada,4936.568087275503,4536.54986283247
Guadeloupe,4809.869040114857,4574.317626241369
French Guiana,4796.364867346179,4347.7013962258325
Saint Lucia,4776.743085702475,4421.301649468482
St Vincent & Grenadines,4683.3378933390195,4524.564345579751
Colombia,5012.55611859076,4658.393487666793
Panama,4870.1102408565475,4444.003050435285
Venezuela,4923.439898118391,4662.331715464005
Ecuador,5057.519196026203,4456.840727883642
Saint Kitts and Nevis,4630.010474425811,4341.213531344952
India,5013.976432888604,4646.38914326307
Slovakia,5166.742799472866,4880.749835959857
Croatia,5270.384088721805,5086.971588469881
Lebanon,4973.799047277056,4608.963633675411
Puerto Rico,4635.751326494819,3937.3722053778956
Iran,4848.172283496685,4736.198484661855
Afghanistan,4538.51605295463,4216.311536549279
South Korea,5187.738095295829,4646.525226865105
Iraq,5025.451522850956,4841.280831556632
Syria,4927.101996843678,4629.7510505192
Tanzania,4846.470917189891,4415.441269265443
Albania,5075.45533634378,4999.656489711511
Zimbabwe,4943.7958551770425,4739.236121373879
Zambia,5182.645451636399,4743.023082766665
Hong Kong,4954.317292983626,4354.28109502137
Vietnam,4985.975166921093,4465.556140263701
Zanzibar,4727.43562231357,4241.965052686649
Djibouti,4733.9535036804555,4058.6054000822105
Ethiopia,5088.329295744364,4701.663551022957
Madagascar,4941.927582178322,4503.88094038202
Macao,4590.228606137974,4113.118791068177
Singapore,4781.362780863043,4361.437020962874
Malaysia,4936.056065827158,4410.294573834201
Thailand,4703.651436477418,4217.121935278142
DR Congo,5108.721725943287,4830.376245699534
Dominican Republic,4543.920083883634,4342.634190473407
Israel,5037.489393571044,4799.016006028188
Cyprus,4947.96333735633,4398.945710610244
Sierra Leone,4931.716196924195,4782.812020448359
Nigeria,5137.006880781106,4958.576415271495
Antigua and Barbuda,4639.40420774317,4384.71159281989
Montserrat,4393.709999696052,3809.249549912473
Myanmar,4770.702539787571,4318.326233569302
Ghana,5206.416469919973,4898.44715266251
Pakistan,4652.204106518667,4724.129638003211
East Germany,5111.264071908386,4859.8825011297795
Vanuatu,4648.094705805259,4085.636384729337
