date,home_team,away_team,tournament,country,neutral
2024-06-01,Greenland,Turkmenistan,Friendly,Turkey,True
2024-06-02,Indonesia,Tanzania,Friendly,Indonesia,False
2024-06-02,Sint Maarten,Anguilla,Friendly,Sint Maarten,False
2024-06-03,Albania,Liechtenstein,Friendly,Hungary,True
2024-06-03,Croatia,North Macedonia,Friendly,Croatia,False
2024-06-03,England,Bosnia and Herzegovina,Friendly,England,False
2024-06-03,Germany,Ukraine,Friendly,Germany,False
2024-06-03,Gibraltar,Scotland,Friendly,Portugal,True
2024-06-04,Switzerland,Estonia,Friendly,Switzerland,False
2024-06-04,Slovenia,Armenia,Friendly,Slovenia,False
2024-06-04,Romania,Bulgaria,Friendly,Romania,False
2024-06-04,Portugal,Finland,Friendly,Portugal,False
2024-06-04,Ireland,Hungary,Friendly,Ireland,False
2024-06-04,Bonaire,Sint Maarten,Friendly,Netherlands,True
2024-06-04,Austria,Serbia,Friendly,Austria,False
2024-06-04,Italy,Turkey,Friendly,Italy,False
2024-06-05,Antigua and Barbuda,Bermuda,World Cup qualifier,Antigua and Barbuda,False
2024-06-05,Trinidad and Tobago,Grenada,World Cup qualifier,Trinidad and Tobago,False
2024-06-05,Nicaragua,Montserrat,World Cup qualifier,Nicaragua,False
2024-06-05,Guatemala,Dominica,World Cup qualifier,Guatemala,False
2024-06-05,Curaçao,Barbados,World Cup qualifier,Curaçao,False
2024-06-05,Spain,Andorra,Friendly,Spain,False
2024-06-05,Suriname,St Vincent & Grenadines,World Cup qualifier,Suriname,False
2024-06-05,Norway,Kosovo,Friendly,Norway,False
2024-06-05,Mexico,Uruguay,Friendly,United States,True
2024-06-05,France,Luxembourg,Friendly,France,False
2024-06-05,Denmark,Sweden,Friendly,Denmark,False
2024-06-05,San Marino,Slovakia,Friendly,Austria,True
2024-06-05,Belgium,Montenegro,Friendly,Belgium,False
2024-06-06,Senegal,DR Congo,World Cup qualifier,Senegal,False
2024-06-06,Nigeria,South Africa,World Cup qualifier,Nigeria,False
2024-06-06,Namibia,Liberia,World Cup qualifier,Namibia,False
2024-06-06,Mozambique,Somalia,World Cup qualifier,Mozambique,False
